YearsExperience,Education,JobRole,OrgSize,Location,Salary,CompFreq,Currency,LanguageHaveWorkedWith,Age,Gender
15,Master,Back-end Developer,500 to 999 employees,Viet Nam,"46,000,000",Monthly,VND,Python,40,Male
6,Bachelor,Full-stack Developer,"1,000 to 4,999 employees",Viet Nam,"18,000,000",Monthly,VND,Java;JavaScript;SQL;HTML;CSS,38,Male
14,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"34,500,000",Monthly,VND,Java;JavaScript;PHP;HTML;CSS,40,Male
8,Bachelor,Back-end Developer,500 to 999 employees,Viet Nam,"57,500,000",Monthly,VND,Go;Objective-C;Python;Swift,29,Male
6,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,"40,000,000",Monthly,VND,CoffeeScript;Java;JavaScript;Ruby;SQL,33,Male
12,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"48,000,000",Monthly,VND,Java;JavaScript;Ruby;SQL;HTML,30,Male
6,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"13,800,000",Monthly,VND,C#;Java;JavaScript;Objective-C;Swift;Kotlin;HTML,30,Male
6,Bachelor,Front-end Developer,"1,000 to 4,999 employees",Viet Nam,"17,250,000",Monthly,VND,JavaScript;PHP;Python;HTML;CSS;Bash/Shell,34,Male
8,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,"15,000,000",Monthly,VND,C#;JavaScript,26,Male
9,Bachelor,Mobile Developer,100 to 499 employees,Viet Nam,"40,000,000",Monthly,VND,C#;JavaScript;SQL;HTML;CSS,31,Male
7,Bachelor,Mobile Developer,100 to 499 employees,Viet Nam,"14,000,000",Monthly,VND,C#;Java;SQL,29,Other
12,High School,Back-end Developer,100 to 499 employees,Viet Nam,"82,800,000",Monthly,VND,Assembly;C;C++;C#;Java;JavaScript;Objective-C;Python;Ruby;SQL;TypeScript;VBA;VB.NET;Visual Basic 6,34,Male
6,Bachelor,Data Scientist,500 to 999 employees,Viet Nam,"15,000,000",Monthly,VND,C;C++;Java;JavaScript;Matlab;PHP;SQL;HTML;CSS;Bash/Shell,22,Male
0,High School,Back-end Developer,20 to 99 employees,Viet Nam,"22,000,000",Monthly,VND,Go;Java;JavaScript;Python;HTML;CSS,18,Male
5,High School,Back-end Developer,10 to 19 employees,Viet Nam,"17,000,000",Monthly,VND,Java;JavaScript;Matlab;PHP;Python;R;SQL;HTML;CSS;Bash/Shell,23,Male
6,High School,Back-end Developer,20 to 99 employees,Viet Nam,"19,000,000",Monthly,VND,Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,32,Male
2,Bachelor,Mobile Developer,20 to 99 employees,Viet Nam,"12,000,000",Monthly,VND,JavaScript;Python;TypeScript;HTML;CSS,19,Male
4,High School,Mobile Developer,10 to 19 employees,Viet Nam,"8,000,000",Monthly,VND,C;C++;C#;Java;JavaScript;PHP;Python;SQL;HTML;CSS,20,Male
8,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"28,750,000",Monthly,VND,Java;Python;Kotlin,29,Male
8,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"25,000,000",Monthly,VND,C#;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,30,Male
3,Bachelor,Front-end Developer,10 to 19 employees,Viet Nam,"17,000,000",Monthly,VND,C;C++;C#,30,Male
0,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,"12,000,000",Monthly,VND,C#;JavaScript;Ruby;SQL;HTML;CSS,24,Other
12,Master,Back-end Developer,20 to 99 employees,Viet Nam,"46,000,000",Monthly,VND,C#;Java;Python;SQL,31,Male
8,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"27,600,000",Monthly,VND,JavaScript;TypeScript;HTML;CSS,27,Male
3,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,"10,000,000",Monthly,VND,C#;JavaScript;HTML;CSS,34,Male
4,Bachelor,Mobile Developer,20 to 99 employees,Viet Nam,"16,100,000",Monthly,VND,JavaScript;PHP;SQL;HTML;CSS,28,Male
5,High School,Back-end Developer,20 to 99 employees,Viet Nam,"70,000,000",Monthly,VND,Go;Java;Lua;Perl;Python;Bash/Shell,26,Male
5,Master,Back-end Developer,10 to 19 employees,Viet Nam,"29,000,000",Monthly,VND,JavaScript;PHP;SQL;VB.NET;HTML;CSS;Bash/Shell,27,Male
8,Bachelor,DevOps,"10,000 or more employees",Viet Nam,"34,500,000",Monthly,VND,Objective-C,30,Other
3,High School,Back-end Developer,10 to 19 employees,Viet Nam,"9,200,000",Monthly,VND,JavaScript;HTML;CSS,22,Male
14,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"10,000,000",Monthly,VND,C#;JavaScript;SQL;HTML,27,Male
6,Bachelor,Mobile Developer,20 to 99 employees,Viet Nam,"19,000,000",Monthly,VND,Java;JavaScript;Objective-C;PHP;Swift;TypeScript;HTML;CSS,27,Male
21,Bachelor,Back-end Developer,"5,000 to 9,999 employees",Viet Nam,"210,000,000",Monthly,VND,Assembly;Go;Java;JavaScript;PHP;SQL;HTML;CSS,38,Male
2,Master,Back-end Developer,100 to 499 employees,Viet Nam,"10,000,000",Monthly,VND,Java;HTML;CSS,24,Other
3,Bachelor,Data Scientist,10 to 19 employees,Viet Nam,"25,060,000",Monthly,VND,,25,Other
7,High School,Front-end Developer,"1,000 to 4,999 employees",Viet Nam,"23,000,000",Monthly,VND,Java;JavaScript;SQL;HTML,30,Male
5,Bachelor,Front-end Developer,"10,000 or more employees",Viet Nam,"11,500,000",Monthly,VND,C++;C#;JavaScript;SQL;VB.NET;HTML;CSS,27,Other
14,High School,Back-end Developer,"10,000 or more employees",Viet Nam,"40,000,000",Monthly,VND,Java;JavaScript;PHP;HTML;CSS;Bash/Shell,25,Male
0,High School,Back-end Developer,10 to 19 employees,Viet Nam,"6,000,000",Monthly,VND,Java;JavaScript;Objective-C;PHP;SQL;HTML;CSS,23,Male
8,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,"39,000,000",Monthly,VND,Java;Python;R,32,Male
1,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,"10,350,000",Monthly,VND,Java;JavaScript;SQL;TypeScript;HTML;CSS,23,Other
9,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"100,000,000",Monthly,VND,C#,35,Male
6,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,"14,600,000",Monthly,VND,C;C++;Java;JavaScript;HTML;CSS,20,Male
22,High School,Back-end Developer,10 to 19 employees,Viet Nam,"17,000,000",Monthly,VND,C;C++;Java;JavaScript;Bash/Shell,19,Male
6,High School,Data Scientist,100 to 499 employees,Viet Nam,"41,400,000",Monthly,VND,JavaScript,32,Male
3,High School,Back-end Developer,10 to 19 employees,Viet Nam,"9,200,000",Monthly,VND,C;C++;Java;JavaScript;SQL;TypeScript;HTML;CSS,18,Male
2,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"15,000,000",Monthly,VND,,24,Other
30,Bachelor,Front-end Developer,20 to 99 employees,Viet Nam,"74,000,000",Monthly,VND,C#,54,Male
0,High School,Front-end Developer,20 to 99 employees,Viet Nam,"11,500,000",Monthly,VND,Java;JavaScript;PHP;SQL;HTML;CSS,23,Male
8,Bachelor,Back-end Developer,"5,000 to 9,999 employees",Viet Nam,"30,000,000",Monthly,VND,,30,Other
8,Bachelor,Mobile Developer,20 to 99 employees,Viet Nam,"14,950,000",Monthly,VND,,30,Other
3,Bachelor,Back-end Developer,500 to 999 employees,Viet Nam,"32,000,000",Monthly,VND,Java;SQL;Bash/Shell,30,Male
4,Bachelor,Front-end Developer,10 to 19 employees,Viet Nam,"10,000,000",Monthly,VND,C#;JavaScript;SQL;TypeScript;HTML;CSS,22,Male
9,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"20,000,000",Monthly,VND,C#;JavaScript;PHP;Python;HTML;CSS,28,Male
12,Bachelor,Embedded Engineer,100 to 499 employees,Viet Nam,"34,500,000",Monthly,VND,C#;JavaScript;Matlab;Objective-C;PHP;SQL;HTML;CSS;Bash/Shell,29,Male
3,Bachelor,Front-end Developer,20 to 99 employees,Viet Nam,"20,000,000",Monthly,VND,JavaScript;Swift,25,Male
6,Bachelor,Back-end Developer,10 to 19 employees,Viet Nam,"73,600,000",Monthly,VND,C#;JavaScript;R;SQL;TypeScript;HTML;CSS,21,Male
6,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"92,000,000",Monthly,VND,Go;JavaScript;TypeScript;HTML;CSS,32,Male
3,Bachelor,Back-end Developer,10 to 19 employees,Viet Nam,"14,000,000",Monthly,VND,C#;Java;JavaScript;Python;R;HTML;CSS;Bash/Shell,23,Male
11,PhD,Data Scientist,20 to 99 employees,Viet Nam,"69,000,000",Monthly,VND,Assembly;C;Objective-C,50,Male
6,Bachelor,Back-end Developer,10 to 19 employees,Viet Nam,"36,800,000",Monthly,VND,C#;Java;JavaScript;SQL;HTML;CSS,31,Male
2,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"12,000,000",Monthly,VND,C#;JavaScript,23,Male
14,Bachelor,Mobile Developer,10 to 19 employees,Viet Nam,"69,000,000",Monthly,VND,C;C++;C#;Java;JavaScript;Perl;PHP;SQL;HTML;CSS,43,Male
5,Bachelor,Back-end Developer,10 to 19 employees,Viet Nam,"25,000,000",Monthly,VND,C;C#;Java;Matlab;Objective-C;HTML,27,Male
5,High School,Front-end Developer,100 to 499 employees,Viet Nam,"23,000,000",Monthly,VND,Java;JavaScript;PHP;HTML;CSS;Bash/Shell,27,Male
10,High School,Back-end Developer,100 to 499 employees,Viet Nam,"35,000,000",Monthly,VND,Clojure;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,43,Female
10,High School,Back-end Developer,10 to 19 employees,Viet Nam,"30,000,000",Monthly,VND,C;C++;C#;Delphi/Object Pascal,13,Male
2,High School,Back-end Developer,100 to 499 employees,Viet Nam,"6,900,000",Monthly,VND,,24,Other
11,Bachelor,Back-end Developer,10 to 19 employees,Viet Nam,"85,000,000",Monthly,VND,HTML/CSS;JavaScript;PHP,35,Male
15,Bachelor,Back-end Developer,500 to 999 employees,Viet Nam,"30,000,000",Monthly,VND,Java;JavaScript,37,Male
7,Bachelor,Data Scientist,20 to 99 employees,Viet Nam,"28,000,000",Monthly,VND,Bash/Shell/PowerShell;C++;C#;JavaScript;Python;Swift,29,Male
7,Bachelor,Mobile Developer,10 to 19 employees,Viet Nam,"27,846,000",Monthly,VND,Dart;JavaScript;TypeScript,26,Male
9,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"28,000,000",Monthly,VND,Go;PHP;SQL,25,Male
3,High School,Front-end Developer,100 to 499 employees,Viet Nam,"12,000,000",Monthly,VND,C#;HTML/CSS;JavaScript;PHP,26,Male
3,Bachelor,Embedded Engineer,500 to 999 employees,Viet Nam,"10,000,000",Monthly,VND,Bash/Shell/PowerShell;C;Python;VBA,24,Male
10,Master,Back-end Developer,100 to 499 employees,Viet Nam,"30,000,000",Monthly,VND,Assembly;C#;HTML/CSS;JavaScript;SQL;TypeScript;VBA,36,Male
5,Bachelor,Front-end Developer,100 to 499 employees,Viet Nam,"14,000,000",Monthly,VND,HTML/CSS;JavaScript,25,Male
5,Master,Embedded Engineer,"10,000 or more employees",Viet Nam,"58,333,333",Monthly,VND,Assembly;Go;HTML/CSS;Java;JavaScript;PHP;WebAssembly,26,Male
4,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,"16,800,000",Monthly,VND,C#;HTML/CSS;JavaScript;SQL;TypeScript,23,Male
12,High School,Mobile Developer,100 to 499 employees,Viet Nam,"92,000,000",Monthly,VND,Assembly;C++;C#;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;Scala;SQL;TypeScript;VBA,34,Male
6,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"10,350,000",Monthly,VND,C;C++;C#;Dart;Java;JavaScript;TypeScript,25,Male
6,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"13,000,000",Monthly,VND,PHP,25,Male
7,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"12,650,000",Monthly,VND,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,29,Male
5,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"15,000,000",Monthly,VND,C#;HTML/CSS;JavaScript;PHP;Python;SQL,23,Male
9,High School,Back-end Developer,20 to 99 employees,Viet Nam,"15,000,000",Monthly,VND,C#;HTML/CSS;JavaScript;SQL,27,Male
7,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"11,500,000",Monthly,VND,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,29,Male
10,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"60,000,000",Monthly,VND,Bash/Shell/PowerShell;C;Dart;Go;HTML/CSS;Java;JavaScript;PHP;SQL,32,Male
2,High School,Back-end Developer,2-9 employees,Viet Nam,"20,000,000",Monthly,VND,HTML/CSS;JavaScript;PHP;SQL,24,Male
19,High School,Mobile Developer,20 to 99 employees,Viet Nam,"22,361,111",Monthly,VND,Go;HTML/CSS;JavaScript;Python;SQL,40,Male
5,Master,Back-end Developer,100 to 499 employees,Viet Nam,"15,000,000",Monthly,VND,HTML/CSS;JavaScript;PHP;TypeScript,26,Male
12,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"16,000,000",Monthly,VND,C#;HTML/CSS;Java;JavaScript;SQL;Swift,36,Male
12,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,"27,000,000",Monthly,VND,C;C++;Java,33,Male
3,High School,Back-end Developer,10 to 19 employees,Viet Nam,"92,000,000",Monthly,VND,Assembly;Bash/Shell/PowerShell;C;C++;Dart;Elixir;Erlang;Go;HTML/CSS;JavaScript;Kotlin;Python;Ruby;Rust;Scala;SQL;TypeScript,23,Male
7,High School,Back-end Developer,10 to 19 employees,Viet Nam,"19,000,000",Monthly,VND,C#;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,25,Male
5,Master,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,"15,000,000",Monthly,VND,C++;HTML/CSS;Java;JavaScript;Python;SQL,24,Male
3,Bachelor,Back-end Developer,10 to 19 employees,Viet Nam,"8,000,000",Monthly,VND,HTML/CSS;Java;JavaScript;Objective-C;PHP;SQL,24,Male
4,Master,Back-end Developer,2-9 employees,Viet Nam,"172,500,000",Monthly,VND,HTML/CSS;JavaScript,29,Male
3,High School,Back-end Developer,20 to 99 employees,Viet Nam,"34,500,000",Monthly,VND,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Ruby;SQL,28,Male
15,Master,Full-stack Developer,10 to 19 employees,Viet Nam,"46,000,000",Monthly,VND,Go;Python;SQL,36,Male
6,Master,Back-end Developer,20 to 99 employees,Viet Nam,"46,000,000",Monthly,VND,C#;HTML/CSS;JavaScript;Objective-C;SQL;TypeScript,28,Male
7,Master,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,"50,000,000",Monthly,VND,C++;Go;Java;PHP,25,Male
5,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,"10,000,000",Monthly,VND,C#;HTML/CSS;Python,25,Male
10,High School,Front-end Developer,"10,000 or more employees",Viet Nam,"23,000,000",Monthly,VND,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Ruby;SQL,27,Male
7,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,"34,500,000",Monthly,VND,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;Ruby;Scala;SQL;Other(s):,24,Male
11,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,"86,000,000",Monthly,VND,HTML/CSS;JavaScript;PHP;TypeScript,33,Male
10,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"50,000,000",Monthly,VND,Bash/Shell/PowerShell;Java;JavaScript,35,Male
10,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"70,000,000",Monthly,VND,Go;Objective-C;Swift,29,Male
10,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"35,000,000",Monthly,VND,Bash/Shell/PowerShell;HTML/CSS;Java;PHP,30,Male
7,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,"18,000,000",Monthly,VND,C++;Java;JavaScript,27,Male
7,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,"28,000,000",Monthly,VND,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;Python;SQL;Swift,26,Male
5,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"23,000,000",Monthly,VND,C++;JavaScript;Objective-C;Python;SQL;Swift,24,Male
10,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"45,000,000",Monthly,VND,C#;HTML/CSS;JavaScript;SQL;TypeScript,29,Male
23,Master,Back-end Developer,"10,000 or more employees",Viet Nam,"121,900,000",Monthly,VND,Bash/Shell/PowerShell;C;JavaScript;Python,38,Male
3,Bachelor,Mobile Developer,100 to 499 employees,Viet Nam,"18,000,000",Monthly,VND,HTML/CSS;JavaScript;PHP;Python,21,Male
5,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"15,000,000",Monthly,VND,Java;JavaScript,23,Male
6,Bachelor,Back-end Developer,"10,000 or more employees",Viet Nam,"28,000,000",Monthly,VND,C;C++;C#;HTML/CSS;JavaScript;PHP;Python;Ruby,29,Male
10,Bachelor,DevOps,500 to 999 employees,Viet Nam,"22,000,000",Monthly,VND,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL,40,Male
5,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,"15,000,000",Monthly,VND,HTML/CSS;JavaScript;Ruby;SQL,25,Male
3,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"18,400,000",Monthly,VND,HTML/CSS;Java;JavaScript;TypeScript,25,Male
8,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"56,000,000",Monthly,VND,C#;Java,28,Male
9,High School,DevOps,100 to 499 employees,Viet Nam,"28,000,000",Monthly,VND,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;TypeScript;Other(s):,26,Male
2,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"30,000,000",Monthly,VND,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript,34,Male
3,Master,Mobile Developer,20 to 99 employees,Viet Nam,"11,500,000",Monthly,VND,Bash/Shell/PowerShell;Other(s):,26,Male
5,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"30,000,000",Monthly,VND,HTML/CSS;JavaScript;PHP;TypeScript,28,Male
4,Bachelor,Full-stack Developer,500 to 999 employees,Viet Nam,"23,000,000",Monthly,VND,C;C++;HTML/CSS;Java;JavaScript;Ruby;Swift;TypeScript,23,Male
8,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"15,000,000",Monthly,VND,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;SQL,28,Male
2,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"18,000,000",Monthly,VND,C#;HTML/CSS;JavaScript;SQL;TypeScript,24,Male
9,Master,Back-end Developer,10 to 19 employees,Viet Nam,"80,500,000",Monthly,VND,HTML/CSS;JavaScript;Python;Ruby;SQL,31,Male
5,Bachelor,Data Scientist,2-9 employees,Viet Nam,"16,000,000",Monthly,VND,C#;HTML/CSS;JavaScript;SQL,24,Male
10,Master,Back-end Developer,100 to 499 employees,Viet Nam,"30,416,667",Monthly,VND,C#;HTML/CSS;JavaScript;SQL,31,Male
9,Bachelor,Data Scientist,100 to 499 employees,Viet Nam,"27,600,000",Monthly,VND,HTML/CSS;JavaScript;TypeScript,27,Male
10,Bachelor,Front-end Developer,20 to 99 employees,Viet Nam,"25,000,000",Monthly,VND,Assembly;Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,32,Other
2,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,"10,000,000",Monthly,VND,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;R,23,Male
7,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"46,000,000",Monthly,VND,Java;Kotlin;Python,27,Male
13,Bachelor,Full-stack Developer,2-9 employees,Viet Nam,"25,000,000",Monthly,VND,C#;HTML/CSS;JavaScript;Objective-C;PHP;SQL;Swift,33,Male
3,High School,Back-end Developer,20 to 99 employees,Viet Nam,"20,000,000",Monthly,VND,C;Clojure;Go;HTML/CSS;JavaScript;Python;Ruby;SQL,22,Male
4,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,"22,000,000",Monthly,VND,C#;HTML/CSS;JavaScript,28,Male
5,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"23,000,000",Monthly,VND,C++;HTML/CSS;Java;JavaScript;SQL;TypeScript,28,Male
6,Bachelor,Data Scientist,20 to 99 employees,Viet Nam,"18,500,000",Monthly,VND,C++;C#;HTML/CSS;Java;JavaScript;PHP;SQL;Other(s):,25,Female
4,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"9,000,000",Monthly,VND,HTML/CSS;JavaScript;Ruby,23,Male
4,Bachelor,Back-end Developer,20 to 99 employees,Viet Nam,"10,000,000",Monthly,VND,HTML/CSS;Java;JavaScript,22,Male
4,Bachelor,Back-end Developer,"10,000 or more employees",Viet Nam,"25,000,000",Monthly,VND,C#;JavaScript;TypeScript,24,Male
32,Bachelor,Back-end Developer,100 to 499 employees,Viet Nam,"63,000,000",Monthly,VND,C#;Other(s):,46,Male
4,Master,Mobile Developer,"1,000 to 4,999 employees",Viet Nam,"30,000,000",Monthly,VND,HTML/CSS;R,28,Female
3,High School,Full-stack Developer,"1,000 to 4,999 employees",Viet Nam,"11,000,000",Monthly,VND,Python;SQL,24,Male
8,Bachelor,DevOps,10 to 19 employees,Viet Nam,"34,500,000",Monthly,VND,HTML/CSS;JavaScript;PHP;Other(s):,33,Male
5,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,"14,000,000",Monthly,VND,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;JavaScript;SQL;TypeScript,25,Male
9,High School,Back-end Developer,10 to 19 employees,Viet Nam,"17,296,000",Monthly,VND,HTML/CSS;JavaScript;PHP;SQL,29,Other
9,Bachelor,Embedded Engineer,"10,000 or more employees",Viet Nam,"20,500,000",Monthly,VND,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,28,Male
15,Bachelor,Back-end Developer,10 to 19 employees,Viet Nam,"50,000,000",Monthly,VND,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;TypeScript;VBA,34,Male
3,Bachelor,Back-end Developer,"1,000 to 4,999 employees",Viet Nam,"26,000,000",Monthly,VND,C#;HTML/CSS;SQL,30,Male
12,High School,Full-stack Developer,20 to 99 employees,Viet Nam,"18,000,000",Monthly,VND,C#;HTML/CSS;JavaScript;PHP;SQL,28,Male
3,Bachelor,Full-stack Developer,10 to 19 employees,Viet Nam,"55,000,000",Monthly,VND,C#;SQL,25,Male
4,Bachelor,Full-stack Developer,20 to 99 employees,Viet Nam,"13,000,000",Monthly,VND,C#;HTML/CSS;JavaScript;PHP;SQL,25,Male
5,Bachelor,Front-end Developer,100 to 499 employees,Viet Nam,"19,000,000",Monthly,VND,HTML/CSS;JavaScript;PHP;Python,25,Male
8,Bachelor,Back-end Developer,500 to 999 employees,Viet Nam,"29,900,000",Monthly,VND,HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL,29,Male
9,High School,DevOps,100 to 499 employees,Viet Nam,"23,000,000",Monthly,VND,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,31,Male
25,High School,Mobile Developer,20 to 99 employees,Viet Nam,"276,000,000",Monthly,VND,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;SQL,41,Male
